generation,best_TOTFIT,gen_best_TOTFIT,d0p,d1p,d2p,dunp,ATT,F1,F2,F3
34,10.940099048615973,10.940099048615973,8.582565556892717,48.25700369827987,8.841112297211707,34.31931844761573,17.066938526614468,4.630641663411088,1.9955054560191756,4.313951929185711
35,10.940099048615973,10.940099048615973,8.582565556892717,48.25700369827987,8.841112297211707,34.31931844761573,17.066938526614468,4.630641663411088,1.9955054560191756,4.313951929185711
36,10.94629226754276,10.94629226754276,8.652212543438727,48.201458511135165,8.82644630375081,34.31988264167528,17.059429891061175,4.634725687056937,1.9976887642825147,4.313877816203308
37,10.94629226754276,10.94629226754276,8.652212543438727,48.201458511135165,8.82644630375081,34.31988264167528,17.059429891061175,4.634725687056937,1.9976887642825147,4.313877816203308
38,10.957477341366104,10.957477341366104,8.722432047700911,48.345488902307984,8.612196408315825,34.31988264167528,17.051872941314706,4.640843776538003,2.002755748624792,4.313877816203308
39,10.961534966610714,10.961534966610714,8.644499580369143,48.4919261494593,8.544255822555833,34.31931844761573,17.04421749447483,4.64606723109713,2.0015158063278715,4.313951929185711
40,10.968004134691594,10.968004134691594,8.723285964133282,48.58831409961781,8.369081488633201,34.31931844761573,17.043644618507276,4.647782869157283,2.0062693363485993,4.313951929185711
41,10.975478123328303,10.975478123328303,8.851672426881816,48.380363384009804,8.448927098299901,34.31903709080851,17.03225191839725,4.652684326451903,2.0088049081978108,4.3139888886785895
42,10.976589522663414,10.976589522663414,8.752879806060243,48.642193889674175,8.285607856649888,34.31931844761573,17.03390088913948,4.654330238331427,2.0083073551462745,4.313951929185711
43,10.980108963716837,10.980108963716837,8.713612443232313,48.73384417233877,8.233460185663544,34.319083198765384,17.027285081880986,4.658189013247985,2.007937118618148,4.313982831850705
44,10.989119434098718,10.989119434098718,8.82197691027978,48.686721094504456,8.172218796450368,34.319083198765384,17.01925551508816,4.66322847901118,2.011908123236834,4.313982831850705
45,10.991738041146933,10.991738041146933,8.784729652994804,48.78033933875899,8.115847809480833,34.319083198765384,17.013129280381893,4.666105993596542,2.0116492156996864,4.313982831850705
46,11.00218295136214,11.00218295136214,8.88964239466869,48.870499053615255,7.919827554355005,34.32003099736106,17.00937483989821,4.670904691170808,2.0174199320037185,4.313858328187613
47,11.007639867522094,11.007639867522094,8.732891347440916,49.00053942882433,7.947250776119056,34.31931844761573,16.98872101102727,4.681118009428793,2.012569928907591,4.313951929185711
48,11.031625875444291,11.031625875444291,8.993508521758965,49.09342120942132,7.5930392714586405,34.32003099736106,16.976679393100284,4.692711607580433,2.0250559396762453,4.313858328187613
49,11.031625875444291,11.031625875444291,8.993508521758965,49.09342120942132,7.5930392714586405,34.32003099736106,16.976679393100284,4.692711607580433,2.0250559396762453,4.313858328187613
50,11.037175559279142,11.037175559279142,9.012103915841834,49.13174298676397,7.536122100033153,34.32003099736106,16.97090552176667,4.696916891992551,2.0264003390989775,4.313858328187613
51,11.037175559279142,11.037175559279142,9.012103915841834,49.13174298676397,7.536122100033153,34.32003099736106,16.97090552176667,4.696916891992551,2.0264003390989775,4.313858328187613
52,11.040606070069703,11.040606070069703,9.014575724139704,49.13502478849388,7.530368490005373,34.32003099736106,16.965571649251075,4.700194585259919,2.0265531566221706,4.313858328187613
53,11.054122157393397,11.054122157393397,9.045760738838986,49.369880352573844,7.26432791122612,34.32003099736106,16.950890319213794,4.709019092466789,2.0312447367389965,4.313858328187613
54,11.054122157393397,11.054122157393397,9.045760738838986,49.369880352573844,7.26432791122612,34.32003099736106,16.950890319213794,4.709019092466789,2.0312447367389965,4.313858328187613
55,11.058080305450572,11.058080305450572,9.04651955547273,49.429572109740086,7.2038773374261025,34.32003099736106,16.9466563296766,4.712091980422999,2.03212999683996,4.313858328187613
56,11.059029477216761,11.059029477216761,9.064394630685854,49.39638906855986,7.21918530339323,34.32003099736106,16.945826930011965,4.712749120982629,2.0324220280465193,4.313858328187613
57,11.077478210862804,11.077478210862804,9.048325193409662,49.56053840985902,7.198161587328408,34.192974809402905,16.948183958128833,4.711020229559994,2.03589341686693,4.33056456443588
58,11.077478210862804,11.077478210862804,9.048325193409662,49.56053840985902,7.198161587328408,34.192974809402905,16.948183958128833,4.711020229559994,2.03589341686693,4.33056456443588
59,11.077478210862804,11.077478210862804,9.048325193409662,49.56053840985902,7.198161587328408,34.192974809402905,16.948183958128833,4.711020229559994,2.03589341686693,4.33056456443588
60,11.082228085203312,11.082228085203312,9.038267783773831,49.57241386209033,7.1965787935832655,34.192739560552546,16.94083577994849,4.7159971636172004,2.0356353950408463,4.330595526545265
61,11.082228085203312,11.082228085203312,9.038267783773831,49.57241386209033,7.1965787935832655,34.192739560552546,16.94083577994849,4.7159971636172004,2.0356353950408463,4.330595526545265
62,11.08696123762848,11.08696123762848,9.049539599721347,49.66033589414047,7.0971496967352845,34.192974809402905,16.934654874798518,4.719025531994005,2.0373711411985944,4.33056456443588
63,11.08696123762848,11.08696123762848,9.049539599721347,49.66033589414047,7.0971496967352845,34.192974809402905,16.934654874798518,4.719025531994005,2.0373711411985944,4.33056456443588
64,11.092796774204817,11.092796774204817,9.062707558226109,49.64963751804529,7.094915363176033,34.192739560552546,16.92692859764918,4.724415238628538,2.037786009031015,4.330595526545265
65,11.092796774204817,11.092796774204817,9.062707558226109,49.64963751804529,7.094915363176033,34.192739560552546,16.92692859764918,4.724415238628538,2.037786009031015,4.330595526545265
66,11.097730420917468,11.097730420917468,9.150700155608375,49.58637445655931,7.070185827279755,34.192739560552546,16.92466102838472,4.7264815320460345,2.04065336232617,4.330595526545265
67,11.107299557632164,11.107299557632164,9.139393768787453,49.78556084942092,6.882305821239061,34.192739560552546,16.915060551824283,4.73368970829789,2.04301432278901,4.330595526545265
68,11.107299557632164,11.107299557632164,9.139393768787453,49.78556084942092,6.882305821239061,34.192739560552546,16.915060551824283,4.73368970829789,2.04301432278901,4.330595526545265
69,11.114641562048753,11.114641562048753,9.146118937291298,49.87373751178959,6.7874039903665615,34.192739560552546,16.90669906121844,4.739483824601902,2.044562210901585,4.330595526545265
70,11.114641562048753,11.114641562048753,9.146118937291298,49.87373751178959,6.7874039903665615,34.192739560552546,16.90669906121844,4.739483824601902,2.044562210901585,4.330595526545265
71,11.120277478102961,11.120277478102961,9.1538366331511,49.95442420400257,6.69899960229376,34.192739560552546,16.90054386591502,4.743636315230507,2.04604563632719,4.330595526545265
